sk_tempo,nm_grupo,dt_evento,nr_ano,nr_mes,nm_mes,nr_dia,nr_dia_semana,nm_dia_semana_extenso,nr_semestre,ds_semestre,ds_semestre_ano,nr_trimestre,ds_trimestre,nm_estacao_ano,ds_dia_util_feriado,ds_fim_semana,ds_data_extenso,dt_carga
20230120,INSIGHTHUNTERS,2023-01-20 00:00:00,2023,1,Janeiro,20,6,Sexta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Sexta-Feira , 20 de Janeiro de 2023",2025-05-24 23:26:21
20230121,INSIGHTHUNTERS,2023-01-21 00:00:00,2023,1,Janeiro,21,7,Sábado,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Sábado , 21 de Janeiro de 2023",2025-05-24 23:26:21
20230122,INSIGHTHUNTERS,2023-01-22 00:00:00,2023,1,Janeiro,22,1,Domingo,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Domingo , 22 de Janeiro de 2023",2025-05-24 23:26:21
20230123,INSIGHTHUNTERS,2023-01-23 00:00:00,2023,1,Janeiro,23,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Segunda-Feira , 23 de Janeiro de 2023",2025-05-24 23:26:21
20230124,INSIGHTHUNTERS,2023-01-24 00:00:00,2023,1,Janeiro,24,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Terça-Feira , 24 de Janeiro de 2023",2025-05-24 23:26:21
20230125,INSIGHTHUNTERS,2023-01-25 00:00:00,2023,1,Janeiro,25,4,Quarta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Quarta-Feira , 25 de Janeiro de 2023",2025-05-24 23:26:21
20230126,INSIGHTHUNTERS,2023-01-26 00:00:00,2023,1,Janeiro,26,5,Quinta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Quinta-Feira , 26 de Janeiro de 2023",2025-05-24 23:26:21
20230127,INSIGHTHUNTERS,2023-01-27 00:00:00,2023,1,Janeiro,27,6,Sexta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Sexta-Feira , 27 de Janeiro de 2023",2025-05-24 23:26:21
20230128,INSIGHTHUNTERS,2023-01-28 00:00:00,2023,1,Janeiro,28,7,Sábado,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Sábado , 28 de Janeiro de 2023",2025-05-24 23:26:21
20230129,INSIGHTHUNTERS,2023-01-29 00:00:00,2023,1,Janeiro,29,1,Domingo,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Domingo , 29 de Janeiro de 2023",2025-05-24 23:26:21
20230130,INSIGHTHUNTERS,2023-01-30 00:00:00,2023,1,Janeiro,30,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Segunda-Feira , 30 de Janeiro de 2023",2025-05-24 23:26:21
20230131,INSIGHTHUNTERS,2023-01-31 00:00:00,2023,1,Janeiro,31,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Terça-Feira , 31 de Janeiro de 2023",2025-05-24 23:26:21
20230201,INSIGHTHUNTERS,2023-02-01 00:00:00,2023,2,Fevereiro,1,4,Quarta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Quarta-Feira , 1 de Fevereiro de 2023",2025-05-24 23:26:21
20230202,INSIGHTHUNTERS,2023-02-02 00:00:00,2023,2,Fevereiro,2,5,Quinta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Quinta-Feira , 2 de Fevereiro de 2023",2025-05-24 23:26:21
20230203,INSIGHTHUNTERS,2023-02-03 00:00:00,2023,2,Fevereiro,3,6,Sexta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Sexta-Feira , 3 de Fevereiro de 2023",2025-05-24 23:26:21
20230204,INSIGHTHUNTERS,2023-02-04 00:00:00,2023,2,Fevereiro,4,7,Sábado,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Sábado , 4 de Fevereiro de 2023",2025-05-24 23:26:21
20230205,INSIGHTHUNTERS,2023-02-05 00:00:00,2023,2,Fevereiro,5,1,Domingo,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Domingo , 5 de Fevereiro de 2023",2025-05-24 23:26:21
20230206,INSIGHTHUNTERS,2023-02-06 00:00:00,2023,2,Fevereiro,6,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Segunda-Feira , 6 de Fevereiro de 2023",2025-05-24 23:26:21
20230207,INSIGHTHUNTERS,2023-02-07 00:00:00,2023,2,Fevereiro,7,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Terça-Feira , 7 de Fevereiro de 2023",2025-05-24 23:26:21
20230208,INSIGHTHUNTERS,2023-02-08 00:00:00,2023,2,Fevereiro,8,4,Quarta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Quarta-Feira , 8 de Fevereiro de 2023",2025-05-24 23:26:21
20230209,INSIGHTHUNTERS,2023-02-09 00:00:00,2023,2,Fevereiro,9,5,Quinta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Quinta-Feira , 9 de Fevereiro de 2023",2025-05-24 23:26:21
20230210,INSIGHTHUNTERS,2023-02-10 00:00:00,2023,2,Fevereiro,10,6,Sexta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Sexta-Feira , 10 de Fevereiro de 2023",2025-05-24 23:26:21
20230211,INSIGHTHUNTERS,2023-02-11 00:00:00,2023,2,Fevereiro,11,7,Sábado,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Sábado , 11 de Fevereiro de 2023",2025-05-24 23:26:21
20230212,INSIGHTHUNTERS,2023-02-12 00:00:00,2023,2,Fevereiro,12,1,Domingo,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Domingo , 12 de Fevereiro de 2023",2025-05-24 23:26:21
20230213,INSIGHTHUNTERS,2023-02-13 00:00:00,2023,2,Fevereiro,13,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Segunda-Feira , 13 de Fevereiro de 2023",2025-05-24 23:26:21
20230214,INSIGHTHUNTERS,2023-02-14 00:00:00,2023,2,Fevereiro,14,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Terça-Feira , 14 de Fevereiro de 2023",2025-05-24 23:26:21
20230215,INSIGHTHUNTERS,2023-02-15 00:00:00,2023,2,Fevereiro,15,4,Quarta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Quarta-Feira , 15 de Fevereiro de 2023",2025-05-24 23:26:21
20230216,INSIGHTHUNTERS,2023-02-16 00:00:00,2023,2,Fevereiro,16,5,Quinta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Quinta-Feira , 16 de Fevereiro de 2023",2025-05-24 23:26:21
20230217,INSIGHTHUNTERS,2023-02-17 00:00:00,2023,2,Fevereiro,17,6,Sexta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Sexta-Feira , 17 de Fevereiro de 2023",2025-05-24 23:26:21
20230218,INSIGHTHUNTERS,2023-02-18 00:00:00,2023,2,Fevereiro,18,7,Sábado,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Sábado , 18 de Fevereiro de 2023",2025-05-24 23:26:21
20230219,INSIGHTHUNTERS,2023-02-19 00:00:00,2023,2,Fevereiro,19,1,Domingo,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Domingo , 19 de Fevereiro de 2023",2025-05-24 23:26:21
20230220,INSIGHTHUNTERS,2023-02-20 00:00:00,2023,2,Fevereiro,20,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Segunda-Feira , 20 de Fevereiro de 2023",2025-05-24 23:26:21
20230221,INSIGHTHUNTERS,2023-02-21 00:00:00,2023,2,Fevereiro,21,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Terça-Feira , 21 de Fevereiro de 2023",2025-05-24 23:26:21
20230222,INSIGHTHUNTERS,2023-02-22 00:00:00,2023,2,Fevereiro,22,4,Quarta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Quarta-Feira , 22 de Fevereiro de 2023",2025-05-24 23:26:21
20230223,INSIGHTHUNTERS,2023-02-23 00:00:00,2023,2,Fevereiro,23,5,Quinta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Quinta-Feira , 23 de Fevereiro de 2023",2025-05-24 23:26:21
20230224,INSIGHTHUNTERS,2023-02-24 00:00:00,2023,2,Fevereiro,24,6,Sexta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Sexta-Feira , 24 de Fevereiro de 2023",2025-05-24 23:26:21
20230225,INSIGHTHUNTERS,2023-02-25 00:00:00,2023,2,Fevereiro,25,7,Sábado,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Sábado , 25 de Fevereiro de 2023",2025-05-24 23:26:21
20230226,INSIGHTHUNTERS,2023-02-26 00:00:00,2023,2,Fevereiro,26,1,Domingo,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Domingo , 26 de Fevereiro de 2023",2025-05-24 23:26:21
20230227,INSIGHTHUNTERS,2023-02-27 00:00:00,2023,2,Fevereiro,27,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Segunda-Feira , 27 de Fevereiro de 2023",2025-05-24 23:26:21
20230228,INSIGHTHUNTERS,2023-02-28 00:00:00,2023,2,Fevereiro,28,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Terça-Feira , 28 de Fevereiro de 2023",2025-05-24 23:26:21
20230301,INSIGHTHUNTERS,2023-03-01 00:00:00,2023,3,Março,1,4,Quarta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Quarta-Feira , 1 de Março de 2023",2025-05-24 23:26:21
20230302,INSIGHTHUNTERS,2023-03-02 00:00:00,2023,3,Março,2,5,Quinta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Quinta-Feira , 2 de Março de 2023",2025-05-24 23:26:21
